"","value","count","lc20_bps_220","lc24_evt_250","sections_2","bps_model","bps_name","groupveg","evt_name","evt_phys","map_unit_s","map_unit_n"
"1",2630,4950408,417,7045,189,"10451_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir","Conifer","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest","Conifer","M333A","Okanogan Highland"
"2",2631,344996,446,7045,189,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest","Conifer","M333A","Okanogan Highland"
"3",2632,3295,446,9002,189,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian","Columbia Basin Foothill Riparian Woodland","Riparian","M333A","Okanogan Highland"
"4",2638,2243001,417,7053,189,"10451_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir","Conifer","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Conifer","M333A","Okanogan Highland"
"5",2639,1800473,418,7045,189,"10452_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch","Conifer","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest","Conifer","M333A","Okanogan Highland"
"6",2644,262580,440,7053,189,"11390_10_19","Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland","Grassland","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Conifer","M333A","Okanogan Highland"
"7",2645,130518,446,7053,189,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Conifer","M333A","Okanogan Highland"
"8",2646,99429,418,7053,189,"10452_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch","Conifer","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Conifer","M333A","Okanogan Highland"
"9",2652,598313,446,9012,189,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian","Northern Rocky Mountain Lower Montane Riparian Woodland","Riparian","M333A","Okanogan Highland"
"10",2655,134314,440,7045,189,"11390_10_19","Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland","Grassland","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest","Conifer","M333A","Okanogan Highland"
"11",2656,96203,418,7139,189,"10452_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch","Conifer","Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland","Grassland","M333A","Okanogan Highland"
"12",2660,5052,418,9828,189,"10452_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch","Conifer","Interior Western North American Temperate Ruderal Grassland","Exotic Herbaceous","M333A","Okanogan Highland"
"13",2663,11,435,7065,189,"11250_1_7_8_9_10_19","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland","Columbia Plateau Scabland Shrubland","Shrubland","M333A","Okanogan Highland"
"14",2664,15035,434,7053,189,"11240_10_12_17_18_19_21","Columbia Plateau Low Sagebrush Steppe","Shrubland","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Conifer","M333A","Okanogan Highland"
"15",2669,6571,435,7125,189,"11250_1_7_8_9_10_19","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland","M333A","Okanogan Highland"
"16",2670,27667,446,9017,189,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian","Rocky Mountain Alpine-Montane Wet Meadow","Riparian","M333A","Okanogan Highland"
"17",2673,13443,446,9512,189,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian","Northern Rocky Mountain Lower Montane Riparian Shrubland","Riparian","M333A","Okanogan Highland"
"18",2674,17677,418,9018,189,"10452_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch","Conifer","Rocky Mountain Cliff Canyon and Massive Bedrock","Sparsely Vegetated","M333A","Okanogan Highland"
