MAP_UNIT_S,map_unit_n
211A,Aroostook Hills and Lowlands
211B,Maine - New Brunswick Foothills and Lowlands
211C,Fundy Coastal and Interior
211D,Central Maine Coastal and Embayment
211E,St. Lawrence and Champlain Valley
211F,Northern Glaciated Allegheny Plateau
211G,Northern Unglaciated Allegheny Plateau
211I,Catskill Mountains
211J,Tug Hill Plateau - Mohawk Valley
212H,Northern Lower Peninsula
212J,Southern Superior Uplands
212K,Western Superior Uplands
212L,Northern Superior Uplands
212M,Northern Minnesota and Ontario
212N,Northern Minnesota Drift and Lake Plains
212Q,North Central Wisconsin Uplands
212R,Eastern Upper Peninsula
212S,Northern Upper Peninsula
212T,Northern Green Bay Lobe
212X,Northern Highlands
212Y,Southwest Lake Superior Clay Plain
212Z,Green Bay - Manitowac Upland
221A,Lower New England
221B,Hudson Valley
221D,Northern Appalachian Piedmont
221E,Southern Unglaciated Allegheny Plateau
221F,Western Glaciated Allegheny Plateau
221H,Northern Cumberland Plateau
221J,Central Ridge and Valley
222H,Central Till Plains-Beech-Maple
222I,Erie and Ontario Lake Plain
222J,South Central Great Lakes
222K,Southwestern Great Lakes Morainal
222L,North Central U.S. Driftless and Escarpment
222M,Minnesota and Northeast Iowa Morainal-Oak Savannah
222N,Lake Agassiz-Aspen Parklands
222R,Wisconsin Central Sands
222U,Lake Whittlesey Glaciolacustrine Plain
223A,Ozark Highlands
223B,Interior Low Plateau-Transition Hills
223D,Interior Low Plateau-Shawnee Hills
223E,Interior Low Plateau-Highland Rim
223F,Interior Low Plateau-Bluegrass
223G,Central Till Plains-Oak Hickory
231A,Southern Appalachian Piedmont
231B,Coastal Plains-Middle
231C,Southern Cumberland Plateau
231D,Southern Ridge and Valley
231E,Mid Coastal Plains-Western
231G,Arkansas Valley
231H,Coastal Plains-Loess
231I,Central Appalachian Piedmont
232A,Northern Atlantic Coastal Plain
232B,Gulf Coastal Plains and Flatwoods
232C,Atlantic Coastal Flatwoods
232D,Florida Coastal Lowlands-Gulf
232E,Louisiana Coastal Prairie and Marshes
232F,Coastal Plains and Flatwoods-Western Gulf
232G,Florida Coastal Lowlands-Atlantic
232H,Middle Atlantic Coastal Plains and Flatwoods
232I,Northern Atlantic Coastal Flatwoods
232J,Southern Atlantic Coastal Plains and Flatwoods
232K,Florida Coastal Plains Central Highlands
232L,Gulf Coastal Lowlands
234A,Southern Mississippi Alluvial Plain
234C,Atchafalaya and Red River Alluvial Plains
234D,White and Black River Alluvial Plains
234E,Arkansas Alluvial Plains
242A,Puget Trough
242B,Willamette Valley
251A,Red River Valley
251B,North Central Glaciated Plains
251C,Central Dissected Till Plains
251D,Central Till Plains and Grand Prairies
251E,Osage Plains
251F,Flint Hills
251H,Nebraska Rolling Hills
255A,Cross Timbers and Prairie
255B,Blackland Prairie
255C,Oak Woods and Prairie
255D,Central Gulf Prairie and Marshes
255E,Texas Cross Timbers and Prairie
261A,Central California Coast
261B,Southern California Coast
262A,Great Valley
263A,Northern California Coast
313A,Grand Canyon
313B,Navaho Canyonlands
313C,Tonto Transition
313D,Painted Desert
315A,Pecos Valley
315B,Texas High Plains
315C,Rolling Plains
315D,Edwards Plateau
315E,Rio Grande Plain
315F,Northern Texas High Plains
315G,Eastern Rolling Plains
315H,Central Rio Grande Intermontane
321A,Basin and Range
321B,Stockton Plateau
322A,Mojave Desert
322B,Sonoran Desert
322C,Colorado Desert
331A,Palouse Prairie
331B,Southern High Plains
331C,Central High Tablelands
331D,Northwestern Glaciated Plains
331E,Northeastern Glaciated Plains
331F,Western Great Plains
331G,Powder River Basin
331H,Central High Plains
331I,Arkansas Tablelands
331J,Northern Rio Grande Basin
331K,North Central Highlands
331L,Glaciated Northern Grasslands
